step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
1,UNKNOWN,0.2957106781186548,0.29571067811865476,2.7263109939062624,1.5750000000000002,1.5750000000000002,1.8091883092036787,3:3,2,1:0;0:0,51,0.24,0.24,0.22500000000000006,0.225,45.0,5.695990941738782e-17,360
2,UNKNOWN,0.3955974918910986,0.30046719306019964,350.80843663021744,1.5750000000000002,1.5750000000000002,1.7364976683253608,3:3,4,3:0;2:0;1:0;0:0,52,0.24,0.24,0.2957106781186548,0.2957106781186547,2.7263109939062633,5.292407288087976e-17,360
3,UNKNOWN,0.4943134715303766,0.2844936097471893,350.04199764723967,1.5750000000000002,1.5750000000000002,1.6832379855798962,3:3,4,3:0;2:0;1:0;0:0,51,0.24,0.24,0.3955974918910987,0.30046719306019964,350.80843663021744,1.0661075852472315e-16,360
4,UNKNOWN,0.5928069487375316,0.26720098277371723,355.3385893209999,1.5750000000000002,1.5750000000000002,1.6355553978408404,3:3,4,3:0;0:0;2:0;1:0,41,0.69,0.24,0.4943134715303767,0.2844936097471893,350.04199764723967,1.2029195172092533e-16,360
5,UNKNOWN,0.6924761834606441,0.2590742583592293,356.5192130984306,1.5750000000000002,1.5750000000000002,1.5844585334656138,3:3,4,3:0;0:0;2:0;1:0,42,0.69,0.24,0.5928069487375313,0.2672009827737172,355.3385893209999,3.4642953353435267e-16,360
6,UNKNOWN,0.7922917048427381,0.253002875384921,356.8584050854076,1.5750000000000002,1.5750000000000002,1.5363296107276345,3:3,4,3:0;0:0;2:0;1:0,42,0.69,0.24,0.6924761834606441,0.2590742583592293,356.5192130984306,4.661929261783135e-19,360
7,UNKNOWN,0.8921414196128585,0.24752250492977848,357.8583689408275,1.5750000000000002,1.5750000000000002,1.4928135652941572,3:3,4,3:0;0:0;2:0;1:0,43,0.69,0.24,0.7922917048427381,0.25300287538492094,356.8584050854076,5.782281480864953e-17,360
8,UNKNOWN,0.9920715700829723,0.24378552392628644,358.5532859862044,1.5750000000000002,1.5750000000000002,1.4532506788967081,3:3,4,3:0;0:0;2:0;1:0,43,0.69,0.24,0.8921414196128588,0.24752250492977848,357.8583689408275,2.225377833246479e-16,360
9,UNKNOWN,1.0920396938463461,0.24126079993527946,12.455114870265465,1.5750000000000002,1.5750000000000002,1.4184889534674963,3:3,4,0:0;1:0;3:0;2:0,35,1.14,0.24,0.9920715700829723,0.24378552392628647,358.5532859862044,3.686293055477323e-17,360
10,UNKNOWN,1.1896862203330378,0.2628282723204217,16.25588829483371,1.5750000000000002,1.5750000000000002,1.367574989433066,3:3,4,0:0;1:0;3:0;2:0,35,1.14,0.24,1.0920396938463464,0.24126079993527944,12.455114870265463,2.3105510254854467e-16,360
11,UNKNOWN,1.285688329458172,0.29082104002077314,22.736227126391604,1.5750000000000002,1.5750000000000002,1.3163650116761052,3:3,4,0:0;3:1;1:0;2:0,35,1.14,0.24,1.1896862203330378,0.2628282723204217,16.255888294833706,7.144590137605051e-17,360
12,UNKNOWN,1.3779177197958528,0.3294699670167402,45.79115707230767,1.5750000000000002,1.5750000000000002,1.2610259665184325,3:3,4,0:0;3:1;1:0;2:0,36,1.14,0.24,1.2856883294581714,0.2908210400207731,22.736227126391604,6.673333506182012e-16,360
13,UNKNOWN,1.447645293920475,0.40115026700701156,105.37028088864122,1.5750000000000002,1.5750000000000002,1.18073808137466,3:3,4,0:0;1:0;2:0;3:1,38,1.5899999999999999,0.24,1.3779177197958525,0.32946996701674014,45.79115707230767,2.2560883015039406e-16,360
14,UNKNOWN,1.4211396930180322,0.4975735687592355,122.25937264198971,1.5750000000000002,1.5750000000000002,1.0883568848501834,3:3,4,0:0;1:0;2:1;3:1,63,1.5899999999999999,0.24,1.4476452939204743,0.40115026700701134,105.37028088864122,6.954490392983645e-16,360
15,UNKNOWN,1.3677644074319708,0.5821376207471006,148.8995035972764,1.5750000000000002,1.5750000000000002,1.0142594810810253,3:3,4,0:0;1:1;2:1;3:1,60,1.5899999999999999,0.69,1.4211396930180324,0.4975735687592355,122.25937264198971,2.702955808933973e-16,360
16,UNKNOWN,1.2821381464924968,0.633791695489807,156.38556893492375,1.5750000000000002,1.5750000000000002,0.9857185895167053,3:3,4,0:1;1:1;2:1;3:1,63,1.5899999999999999,0.69,1.367764407431971,0.5821376207471007,148.8995035972764,2.423369477046889e-16,360
17,UNKNOWN,1.1905119600178653,0.6738496778668078,169.81220150216427,1.5750000000000002,1.5750000000000002,0.9797463732875259,3:3,4,0:1;1:1;3:1;2:1,54,1.14,0.69,1.2821381464924964,0.6337916954898066,156.38556893492375,5.549572932479789e-16,360
18,UNKNOWN,1.092088630320015,0.6915371924233575,173.218353573169,1.5750000000000002,1.5750000000000002,1.006831626111041,3:3,4,0:1;1:1;3:1;2:1,54,1.14,0.69,1.190511960017866,0.673849677866808,169.81220150216427,7.267606065535976e-16,360
19,UNKNOWN,0.9927882917662623,0.7033457809550174,175.2099542441366,1.5750000000000002,1.5750000000000002,1.0482135043889513,3:3,4,0:1;1:1;3:1;2:1,54,1.14,0.69,1.0920886303200152,0.6915371924233574,173.218353573169,2.3433956892070285e-16,360
20,UNKNOWN,0.8931375535737625,0.7116962526596541,177.19869921565243,1.5750000000000002,1.5750000000000002,1.1001044295966897,3:3,4,0:1;1:1;3:1;2:1,54,1.14,0.69,0.9927882917662618,0.7033457809550171,175.2099542441366,5.550632180400299e-16,360
21,UNKNOWN,0.7932570507688436,0.7165834972245058,178.5469813363221,1.5750000000000002,1.5750000000000002,1.1610344227928546,3:3,4,3:1;0:1;2:1;1:1,45,0.69,0.69,0.893137553573762,0.711696252659654,177.19869921565243,4.569468848741587e-16,360
22,UNKNOWN,0.6932892054234797,0.7191192213825066,178.85429017125918,1.5750000000000002,1.5750000000000002,1.2287985320953334,3:3,4,3:1;0:1;2:1;1:1,45,0.69,0.69,0.7932570507688433,0.7165834972245058,178.5469813363221,2.213490614687198e-16,360
23,UNKNOWN,0.5933091975755135,0.7211187290020478,178.94502111693666,1.5750000000000002,1.5750000000000002,1.301088027969634,3:3,4,3:1;0:1;2:1;1:1,45,0.69,0.69,0.6932892054234797,0.7191192213825066,178.85429017125918,1.8339226244254033e-17,360
24,UNKNOWN,0.4933261487581395,0.7229599104658293,164.45281063214526,1.5750000000000002,1.5750000000000002,1.3769497574834737,3:3,4,0:2;3:1;2:1;1:1,45,0.69,0.69,0.5933091975755137,0.7211187290020479,178.94502111693666,2.428068983424715e-16,360
25,UNKNOWN,0.3969851461335551,0.7497631045532851,142.32137933977523,1.5750000000000002,1.5750000000000002,1.4383097474245645,3:3,4,0:2;3:1;2:1;1:1,45,0.69,0.69,0.4933261487581395,0.7229599104658293,164.45281063214526,2.0054217038465063e-17,360
