step,x_m,y_m,theta_deg,mode
1,0.2957106781186548,0.29571067811865476,2.7263109939062624,GOALSEEKING
2,0.3955974918910986,0.30046719306019964,350.80843663021744,GOALSEEKING
3,0.4943134715303766,0.2844936097471893,350.04199764723967,GOALSEEKING
4,0.5928069487375316,0.26720098277371723,355.3385893209999,GOALSEEKING
5,0.6924761834606441,0.2590742583592293,356.5192130984306,GOALSEEKING
6,0.7922917048427381,0.253002875384921,356.8584050854076,GOALSEEKING
7,0.8921414196128585,0.24752250492977848,357.8583689408275,GOALSEEKING
8,0.9920715700829723,0.24378552392628644,358.5532859862044,GOALSEEKING
9,1.0920396938463461,0.24126079993527946,12.455114870265465,GOALSEEKING
10,1.1896862203330378,0.2628282723204217,16.25588829483371,GOALSEEKING
11,1.285688329458172,0.29082104002077314,22.736227126391604,GOALSEEKING
12,1.3779177197958528,0.3294699670167402,45.79115707230767,GOALSEEKING
13,1.447645293920475,0.40115026700701156,105.37028088864122,GOALSEEKING
14,1.4211396930180322,0.4975735687592355,122.25937264198971,GOALSEEKING
15,1.3677644074319708,0.5821376207471006,148.8995035972764,GOALSEEKING
16,1.2821381464924968,0.633791695489807,156.38556893492375,GOALSEEKING
17,1.1905119600178653,0.6738496778668078,169.81220150216427,GOALSEEKING
18,1.092088630320015,0.6915371924233575,173.218353573169,GOALSEEKING
19,0.9927882917662623,0.7033457809550174,175.2099542441366,GOALSEEKING
20,0.8931375535737625,0.7116962526596541,177.19869921565243,GOALSEEKING
21,0.7932570507688436,0.7165834972245058,178.5469813363221,GOALSEEKING
22,0.6932892054234797,0.7191192213825066,178.85429017125918,GOALSEEKING
23,0.5933091975755135,0.7211187290020478,178.94502111693666,GOALSEEKING
24,0.4933261487581395,0.7229599104658293,164.45281063214526,GOALSEEKING
25,0.3969851461335551,0.7497631045532851,142.32137933977523,GOALSEEKING
26,0.317839979833484,0.8108862806106045,94.54749039520455,GOALSEEKING
27,0.309911442100386,0.9105714765496951,62.9187092498132,GOALSEEKING
28,0.35543686156383003,0.9996076275372433,34.80128734202695,GOALSEEKING
29,0.43755050015685715,1.0566808292786365,22.764330715552745,GOALSEEKING
30,0.5297609220955737,1.0953749901544556,15.401883826404282,GOALSEEKING
31,0.6261695893456247,1.121933771735487,4.998314462441704,GOALSEEKING
32,0.7257893155080256,1.1306464153829814,2.4997239442950527,GOALSEEKING
33,0.8256941586812255,1.135007872769942,1.7051065662839293,GOALSEEKING
34,0.9256498798916244,1.1379834058833636,0.7850818945051458,GOALSEEKING
35,1.0256404924366245,1.139353589402324,8.528507918780777,GOALSEEKING
36,1.1245347121695406,1.1541837378647515,10.286494854987321,GOALSEEKING
37,1.222927427763218,1.1720407677998124,10.804601279564464,GOALSEEKING
38,1.3211546477072518,1.1907867876991507,29.656641451000606,GOALSEEKING
39,1.4080552680824796,1.2402669067208385,49.5143975493118,GOALSEEKING
40,1.4729809630313528,1.3163238205118009,58.74130714353809,GOALSEEKING
41,1.5248712588848428,1.401807135820914,66.84931488737818,GOALSEEKING
42,1.5641863246254764,1.4937545425587322,70.91057063880271,GOALSEEKING
43,1.596775249267003,1.587921924943128,74.98623576848021,GOALSEEKING
